id,filename,brightness
80,Screen Shot 2022-04-27 at 17.02.36.png,0.46130514705882353
81,Screen Shot 2022-04-27 at 16.44.00.png,0.45416666666666666
82,Screen Shot 2022-04-27 at 16.47.45.png,0.7147518382352941
83,Screen Shot 2022-04-27 at 17.09.17.png,0.5543658088235294
84,Screen Shot 2022-04-27 at 16.54.15.png,0.5012561274509804
85,Screen Shot 2022-04-27 at 16.44.10.png,0.2509957107843137
86,Screen Shot 2022-04-27 at 16.41.08.png,0.31248468137254903
87,Screen Shot 2022-04-27 at 16.46.29.png,0.5225337009803922
88,Screen Shot 2022-04-27 at 16.56.38.png,0.4432291666666667
89,Screen Shot 2022-04-27 at 16.51.24.png,0.3900735294117647
90,Screen Shot 2022-04-27 at 16.41.21.png,0.14083946078431372
91,Screen Shot 2022-04-27 at 17.09.06.png,0.6084252450980392
92,Screen Shot 2022-04-27 at 16.54.02.png,0.6566942401960785
93,Screen Shot 2022-04-27 at 17.10.31.png,0.4012561274509804
94,Screen Shot 2022-04-26 at 22.25.11.png,0.32385110294117647
95,Screen Shot 2022-04-26 at 22.24.44.png,0.38457414215686275
96,Screen Shot 2022-04-27 at 17.01.49.png,0.4245557598039216
97,Screen Shot 2022-04-27 at 17.04.51.png,0.4699754901960784
98,Screen Shot 2022-04-27 at 16.57.52.png,0.5571844362745098
99,Screen Shot 2022-04-27 at 17.10.30.png,0.13848039215686275
